"stateOfIncorporationDescription","count"
"DE","2895"
"NV","620"
"Cayman Islands","546"
"MD","366"
"British Columbia, Canada","218"
"MA","149"
"FL","109"
"NY","102"
"Israel","93"
"Ontario, Canada","78"
"Virgin Islands, British","76"
"TX","73"
"PA","72"
"United Kingdom","63"
"CA","61"
"OH","61"
"VA","57"
"Canada (Federal Level)","53"
"Bermuda","53"
"WY","50"
"CO","43"
"MN","42"
"Netherlands","41"
"NJ","38"
"Marshall Islands","37"
"Japan","34"
"IN","33"
"WA","33"
"WI","32"
"Switzerland","30"
"Ireland","29"
"Alberta, Canada","29"
"Australia","29"
"MI","26"
"UT","25"
"GA","24"
"NC","23"
"France","20"
"MO","18"
"Brazil","18"
"IL","17"
"United States","14"
"TN","14"
"OR","14"
"China","14"
"Singapore","13"
"OK","12"
"Quebec, Canada","11"
"LA","11"
"Luxembourg","11"
"Germany","11"
"CT","10"
"Hong Kong","10"
"SC","9"
"Mexico","9"
"Jersey","8"
"IA","7"
"Argentina","7"
"Korea, Republic of","7"
"HI","6"
"AR","6"
"MS","6"
"Belgium","6"
"Sweden","5"
"Spain","5"
"Taiwan, Province of China","5"
"RI","4"
"KY","4"
"AZ","4"
"WV","4"
"ID","4"
"Denmark","4"
"DC","3"
"KS","3"
"ME","3"
"NE","3"
"PR","3"
"Malaysia","3"
"Guernsey","3"
"AL","3"
"NH","2"
"NM","2"
"Netherlands Antilles","2"
"MT","2"
"South Africa","2"
"VT","2"
"Panama","2"
"Italy","2"
"Mauritius","2"
"Chile","2"
"Turkey","2"
"SD","2"
"India","2"
"Colombia","2"
"ND","1"
"Finland","1"
"Antigua and Barbuda","1"
"New Brunswick, Canada","1"
"AK","1"
"Newfoundland, Canada","1"
"British Indian Ocean Territory","1"
"XX","1"
"GU","1"
"Bahamas","1"
"Manitoba, Canada","1"
"Indonesia","1"
"Gibraltar","1"
"Isle of Man","1"
"Kazakhstan","1"
"United Arab Emirates","1"
"Saskatchewan, Canada","1"
